rbid,family,variant
240,legacy,legacy_table
241,legacy,legacy_table
242,legacy,legacy_table
243,legacy,legacy_table
245,legacy,legacy_table
246,legacy,legacy_table
247,legacy,legacy_table
248,legacy,legacy_table
249,legacy,legacy_table
250,legacy,legacy_table
251,legacy,legacy_table
252,legacy,legacy_table
253,legacy,legacy_table
254,legacy,legacy_table
255,legacy,legacy_table
256,legacy,legacy_table
257,legacy,legacy_table
258,legacy,legacy_table
259,legacy,legacy_table
260,legacy,legacy_table
263,legacy,legacy_table
264,legacy,legacy_table
265,legacy,legacy_table
266,legacy,legacy_table
267,legacy,legacy_table
268,legacy,legacy_table
269,legacy,legacy_table
270,legacy,legacy_table
271,legacy,legacy_table
272,legacy,legacy_table
273,legacy,legacy_table
274,legacy,legacy_table
275,legacy,legacy_table
276,legacy,legacy_table
277,legacy,legacy_table
278,legacy,legacy_table
279,legacy,legacy_table
280,legacy,legacy_table
281,legacy,legacy_table
282,legacy,legacy_table
283,legacy,legacy_table
284,legacy,legacy_table
285,legacy,legacy_table
286,legacy,legacy_table
287,legacy,legacy_table
288,legacy,legacy_table
289,legacy,legacy_table
290,legacy,legacy_table
291,legacy,legacy_table
293,legacy,legacy_table
294,legacy,legacy_table
295,legacy,legacy_table
296,legacy,legacy_table
298,legacy,legacy_table
299,legacy,legacy_table
300,legacy,legacy_table
301,legacy,legacy_table
302,legacy,legacy_table
303,legacy,legacy_table
304,legacy,legacy_table
305,legacy,legacy_table
306,legacy,legacy_table
307,legacy,legacy_table
309,legacy,legacy_table
310,legacy,legacy_table
311,legacy,legacy_table
312,legacy,legacy_table
313,legacy,legacy_table
314,legacy,legacy_table
315,legacy,legacy_table
316,legacy,legacy_table
317,legacy,legacy_table
318,legacy,legacy_table
319,legacy,legacy_table
320,legacy,legacy_table
321,legacy,legacy_table
322,legacy,legacy_table
323,legacy,legacy_table
324,legacy,legacy_table
325,legacy,legacy_table
326,legacy,legacy_table
327,legacy,legacy_table
328,legacy,legacy_table
329,legacy,legacy_table
330,legacy,legacy_table
331,legacy,legacy_table
332,legacy,legacy_table
333,legacy,legacy_table
334,legacy,legacy_table
335,legacy,legacy_table
336,legacy,legacy_table
337,legacy,legacy_table
339,legacy,legacy_table
340,legacy,legacy_table
341,legacy,legacy_table
342,legacy,legacy_table
343,legacy,legacy_table
344,legacy,legacy_table
345,legacy,legacy_table
346,legacy,legacy_table
347,legacy,legacy_table
349,legacy,legacy_table
350,legacy,legacy_table
351,legacy,legacy_table
352,legacy,legacy_table
353,legacy,legacy_table
354,legacy,legacy_table
355,legacy,legacy_table
356,legacy,legacy_table
357,legacy,legacy_table
358,legacy,legacy_table
362,legacy,legacy_table
363,legacy,legacy_table
365,legacy,legacy_table
366,legacy,legacy_table
367,legacy,legacy_table
368,legacy,legacy_table
369,legacy,legacy_table
370,legacy,legacy_table
371,legacy,legacy_table
372,legacy,legacy_table
373,legacy,legacy_table
374,legacy,legacy_table
375,legacy,legacy_table
376,legacy,legacy_table
377,legacy,legacy_table
378,legacy,legacy_table
379,legacy,legacy_table
380,legacy,legacy_table
381,legacy,legacy_table
382,legacy,legacy_table
383,legacy,legacy_table
384,legacy,legacy_table
385,legacy,legacy_table
386,legacy,legacy_table
387,legacy,legacy_table
388,legacy,legacy_table
390,legacy,legacy_table
391,legacy,legacy_table
392,legacy,legacy_table
393,legacy,legacy_table
395,legacy,legacy_table
396,legacy,legacy_table
398,legacy,legacy_table
400,legacy,legacy_table
401,legacy,legacy_table
402,legacy,legacy_table
403,legacy,legacy_table
404,legacy,legacy_table
405,legacy,legacy_table
407,legacy,legacy_table
410,legacy,legacy_table
411,legacy,legacy_table
412,legacy,legacy_table
414,legacy,legacy_table
415,legacy,legacy_table
416,legacy,legacy_table
417,legacy,legacy_table
418,legacy,legacy_table
420,legacy,legacy_table
421,legacy,legacy_table
422,legacy,legacy_table
423,legacy,legacy_table
424,legacy,legacy_table
425,legacy,legacy_table
426,legacy,legacy_table
427,legacy,legacy_table
428,legacy,legacy_table
429,legacy,legacy_table
430,legacy,legacy_table
431,legacy,legacy_table
432,legacy,legacy_table
433,legacy,legacy_table
434,legacy,legacy_table
435,legacy,legacy_table
436,legacy,legacy_table
437,legacy,legacy_table
438,legacy,legacy_table
440,legacy,legacy_table
441,legacy,legacy_table
442,legacy,legacy_table
443,legacy,legacy_table
444,legacy,legacy_table
445,legacy,legacy_table
446,legacy,legacy_table
447,legacy,legacy_table
448,legacy,legacy_table
449,legacy,legacy_table
450,legacy,legacy_table
452,legacy,legacy_table
453,legacy,legacy_table
454,legacy,legacy_table
455,legacy,legacy_table
456,legacy,legacy_table
457,legacy,legacy_table
458,legacy,legacy_table
459,legacy,legacy_table
460,legacy,legacy_table
461,legacy,legacy_table
462,legacy,legacy_table
463,legacy,legacy_table
464,legacy,legacy_table
465,legacy,legacy_table
466,legacy,legacy_table
467,legacy,legacy_table
468,legacy,legacy_table
469,legacy,legacy_table
470,legacy,legacy_table
471,legacy,legacy_table
472,legacy,legacy_table
473,legacy,legacy_table
474,legacy,legacy_table
475,legacy,legacy_table
476,legacy,legacy_table
477,legacy,legacy_table
478,legacy,legacy_table
479,legacy,legacy_table
480,legacy,legacy_table
481,legacy,legacy_table
483,legacy,legacy_table
484,legacy,legacy_table
486,legacy,legacy_table
487,legacy,legacy_table
488,legacy,legacy_table
489,legacy,legacy_table
1007,legacy,legacy_table
1008,legacy,legacy_table
1015,legacy,legacy_table
1017,legacy,legacy_table
1018,legacy,legacy_table
1020,legacy,legacy_table
1021,legacy,legacy_table
1022,legacy,legacy_table
1023,legacy,legacy_table
1024,legacy,legacy_table
1025,legacy,legacy_table
1026,legacy,legacy_table
1027,legacy,legacy_table
1028,legacy,legacy_table
1029,legacy,legacy_table
1030,legacy,legacy_table
1031,legacy,legacy_table
1032,legacy,legacy_table
1033,legacy,legacy_table
1034,legacy,legacy_table
1035,legacy,legacy_table
1038,legacy,legacy_table
1040,legacy,legacy_table
1042,legacy,legacy_table
1044,legacy,legacy_table
1045,legacy,legacy_table
1046,legacy,legacy_table
1047,legacy,legacy_table
1048,legacy,legacy_table
2907,legacy,legacy_table
2908,legacy,legacy_table
2910,legacy,legacy_table
2911,legacy,legacy_table
2912,legacy,legacy_table
2913,legacy,legacy_table
2914,legacy,legacy_table
2915,legacy,legacy_table
2917,legacy,legacy_table
2918,legacy,legacy_table
2919,legacy,legacy_table
2920,legacy,legacy_table
2921,legacy,legacy_table
2922,legacy,legacy_table
2923,legacy,legacy_table
2924,legacy,legacy_table
2925,legacy,legacy_table
2926,legacy,legacy_table
2927,legacy,legacy_table
2928,legacy,legacy_table
2929,legacy,legacy_table
2930,legacy,legacy_table
2931,legacy,legacy_table
2932,legacy,legacy_table
