rbid,type,date,year,category,name,pdf
240,Regleringsbrev,2002-12-20,2003,Myndighet,Konjunkturinstitutet,False
241,Regleringsbrev,2002-12-20,2003,Myndighet,Statens jordbruksverk,False
242,Regleringsbrev,2002-12-20,2003,Myndighet,Statens utsädeskontroll,False
243,Regleringsbrev,2002-12-19,2003,Myndighet,Regeringskansliet,False
245,Regleringsbrev,2002-12-12,2003,Myndighet,Skatteverket,False
246,Regleringsbrev,2003-01-14,2003,Myndighet,Gentekniknämnden,False
247,Regleringsbrev,2003-01-10,2003,Myndighet,Justitiekanslern,False
248,Regleringsbrev,2002-12-19,2003,Myndighet,Allmänna reklamationsnämnden,False
249,Regleringsbrev,2002-12-20,2003,Myndighet,Sametinget,False
250,Regleringsbrev,2002-12-19,2003,Myndighet,Arkitekturmuseet,False
251,Regleringsbrev,2002-12-19,2003,Myndighet,Statens historiska museer,False
252,Regleringsbrev,2002-12-20,2003,Myndighet,Expertgruppen för EU frågor,False
253,Regleringsbrev,2002-12-19,2003,Myndighet,Statens räddningsverk,False
254,Regleringsbrev,2002-12-19,2003,Myndighet,Riksförsäkringsverket,False
255,Regleringsbrev,2003-01-17,2003,Myndighet,Krisberedskapsmyndigheten,False
256,Regleringsbrev,2002-12-20,2003,Myndighet,Statistiska centralbyrån,False
257,Regleringsbrev,2002-12-19,2003,Myndighet,Arbetsmiljöverket,False
258,Regleringsbrev,2002-12-20,2003,Myndighet,Riksrevisionsverket,False
259,Regleringsbrev,2002-12-19,2003,Myndighet,Statens energimyndighet,False
260,Regleringsbrev,2002-12-12,2003,Myndighet,Integrationsverket,False
263,Regleringsbrev,2002-12-20,2003,Myndighet,Kammarkollegiet,False
264,Regleringsbrev,2003-12-20,2003,Myndighet,Skogsstyrelsen,False
265,Regleringsbrev,2003-01-17,2003,Myndighet,Valmyndigheten,False
266,Regleringsbrev,2002-12-19,2003,Myndighet,Sameskolstyrelsen,False
267,Regleringsbrev,2002-12-19,2003,Myndighet,Uppsala universitet,False
268,Regleringsbrev,2002-12-20,2003,Myndighet,Livsmedelsverket,False
269,Regleringsbrev,2002-12-20,2003,Myndighet,Centrala försöksdjursnämnden,False
270,Regleringsbrev,2002-12-19,2003,Myndighet,Myndigheten för kvalificerad yrkesutbildning,False
271,Regleringsbrev,2003-01-09,2003,Myndighet,Nordiska Afrikainstitutet,False
272,Regleringsbrev,2002-12-20,2003,Myndighet,Naturvårdsverket,False
273,Regleringsbrev,2002-12-19,2003,Myndighet,Sveriges geologiska undersökning,False
274,Regleringsbrev,2002-12-12,2003,Myndighet,Försvarets radioanstalt,False
275,Regleringsbrev,2003-01-17,2003,Myndighet,Post- och Telestyrelsen,False
276,Regleringsbrev,2002-12-19,2003,Myndighet,Totalförsvarets forskningsinstitut,False
277,Regleringsbrev,2003-01-16,2003,Myndighet,Elsäkerhetsverket,False
278,Regleringsbrev,2002-12-19,2003,Myndighet,Försvarets materielverk,False
279,Regleringsbrev,2002-12-19,2003,Myndighet,Forskningsrådet för arbetsliv och socialvetenskap,False
280,Regleringsbrev,2002-12-09,2003,Myndighet,Kustbevakningen,False
281,Regleringsbrev,2002-12-20,2003,Myndighet,Fiskeriverket,False
282,Regleringsbrev,2002-12-20,2003,Myndighet,Livsmedelsekonomiska institutet,False
283,Regleringsbrev,2002-12-19,2003,Myndighet,Konsumentverket,False
284,Regleringsbrev,2002-12-20,2003,Myndighet,"Forskningsrådet för miljö, areella näringar och samhällsbyggande",False
285,Regleringsbrev,2002-12-19,2003,Myndighet,Försvarsmakten,False
286,Regleringsbrev,2002-12-19,2003,Myndighet,Moderna Museet,False
287,Regleringsbrev,2002-12-19,2003,Myndighet,Arbetsdomstolen,False
288,Regleringsbrev,2002-12-19,2003,Myndighet,Nationalmuseum med prins Eugens Waldemarsudde,False
289,Regleringsbrev,2002-12-19,2003,Myndighet,Konstnärsnämnden,False
290,Regleringsbrev,2002-12-20,2003,Myndighet,Sveriges lantbruksuniversitet,False
291,Regleringsbrev,2002-12-20,2003,Myndighet,Statens veterinärmedicinska anstalt,False
293,Regleringsbrev,2002-12-19,2003,Myndighet,Talboks- och punktskriftsbiblioteket,False
294,Regleringsbrev,2002-12-19,2003,Myndighet,Granskningsnämnden för radio och TV,False
295,Regleringsbrev,2002-12-19,2003,Myndighet,Institutet för psykosocial medicin,False
296,Regleringsbrev,2002-12-20,2003,Myndighet,Socialstyrelsen,False
297,Regleringsbrev,,2003,Myndighet,Länsstyrelsen i Jönköpings län,False
298,Regleringsbrev,2003-01-07,2003,Myndighet,Styrelsen för internationellt utvecklingssamarbete,False
299,Regleringsbrev,2003-01-17,2003,Myndighet,Svenska institutet,False
300,Regleringsbrev,2002-12-20,2003,Myndighet,Ekonomistyrningsverket,False
301,Regleringsbrev,2002-12-19,2003,Myndighet,Statens biografbyrå,False
302,Regleringsbrev,2002-12-19,2003,Myndighet,Lunds universitet,False
303,Regleringsbrev,2002-12-20,2003,Myndighet,Statens institutionsstyrelse,False
304,Regleringsbrev,2002-12-19,2003,Myndighet,Hälso- och sjukvårdens ansvarsnämnd,False
305,Regleringsbrev,2002-12-19,2003,Myndighet,Statens institut för särskilt utbildningsstöd,False
306,Regleringsbrev,2002-12-20,2003,Myndighet,Barnombudsmannen,False
307,Regleringsbrev,2002-12-20,2003,Myndighet,Regeringskansliet,False
309,Regleringsbrev,2002-12-19,2003,Myndighet,Göteborgs universitet,False
310,Regleringsbrev,2002-12-19,2003,Myndighet,Stockholms universitet,False
311,Regleringsbrev,2002-12-19,2003,Myndighet,Umeå universitet,False
